"Suburbs","PostCode","SoilType","DominantSoils","SoilPH","Crops","crops_photo1"
"Strzelecki","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Strzelecki","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Strzelecki","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Strzelecki","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Strzelecki","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Yinnar","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Celery","/crops photo/Celery.jpg"
"Yinnar","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Rice","/crops photo/rice.jpg"
"Yinnar","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Yinnar","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Yinnar","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Potato","/crops photo/potato.jpg"
"Yinnar","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Tomato","/crops photo/tomato.jpg"
"Yinnar","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Neerim","3831","Warragul with Nerrim South","Acidic Red Ferrosols","6.1","Celery","/crops photo/Celery.jpg"
"Neerim","3831","Warragul with Nerrim South","Acidic Red Ferrosols","6.1","Rice","/crops photo/rice.jpg"
